"<strong>%s</strong>: Order details have been updated","<strong>%s</strong>: Die Bestelldaten wurden aktualisiert"
"<strong>%s</strong>: Order amount has been authorized by Amazon","<strong>%s</strong>: Der Betrag wurde bei Amazon autorisiert"
"<strong>%s</strong>: Authorization has been voided by Amazon","<strong>%s</strong>: Die Authorisierung wurde durch Amazon aufgehoben"
"""Checkout by Amazon"" button background","""Bezahlen über Amazon""-Button Hintergrund"
"""Checkout by Amazon"" button color","""Bezahlen über Amazon""-Button Farbe"
"""Checkout by Amazon"" button size","""Bezahlen über Amazon""-Button Größe"
"15 minutes","15 Minuten"
"30 minutes","30 Minuten"
"1 hour","1 Stunde"
"2 hours","2 Stunden"
"4 hours","4 Stunden"
"8 hours","8 Stunden"
"12 hours","12 Stunden"
"1 day","1 Tag"
"2 days","2 Tage"
"3 days","3 Tage"
"7 days","7 Tage"
"14 days","14 Tage"
"15 days","15 Tage"
"30 days","30 Tage"
"Access Key ID","Access Key ID"
"Address widget height","Adressbuch-Widget Höhe"
"Address widget width","Adressbuch-Widget Breite"
"Allowed IPs (comma separated)","Erlaubte IPs (Kommagetrennt)"
"Amazon MWS Settings","Amazon MWS Einstellungen"
"Amazon Payments ID: %s","Amazon Payments ID: %s"
"API name invalid or not specified","API name invalid or not specified"
"Appearance Settings","Gestaltungseinstellungen"
"Applicable countries","Anwendbar Länder"
"Are you sure?","Sind Sie sicher?"
"Cancelled","Abgebrochen"
"Checkout by Amazon","Bezahlen über Amazon"
"Checkout by Amazon (Sandbox)","Bezahlen über Amazon (Sandbox-Modus)"
"Checkout by Amazon is not available for selected shipping country","Für das ausgewählte Land in der Versandadresse steht die ""Bezahlen über Amazon""-Funktion leider nicht zur Verfügung."
"Checkout by Amazon settings","Bezahlen über Amazon Einstellungen"
"Checkout by Amazon Settings","Bezahlen über Amazon Einstellungen"
"Checkout overlay width","Breite der Checkout-Lightbox"
"Checkout progress widgets height","Bestellfortschritt-Widgets Höhe"
"Checkout progress widgets width","Bestellfortschritt-Widgets Breite"
"Cut product SKUs to the length","Kürze die SKU auf die Länge"
"Dark","Dunkel"
"Debug data","Debug Data"
"Default customer prefix","Standard Kunden-Präfix"
"Discount","Skonto"
"Do not show again","Nicht mehr anzeigen"
"Done","Erledigt"
"Email placeholder","E-Mail-Platzhalter"
"Enable Checkout by Amazon","Bezahlen über Amazon aktiviert"
"Enable Instant Order Processing Notifications","Instant Order Processing Notifications aktiviert"
"Enable iterative report downloads","Iterativen Bericht-Download aktiveren"
"Enable logger","Protokolleinrichtung aktivieren"
"Enable order update via Amazon MWS","Bestell-Aktualisierung über Amazon MWS aktivieren"
"Enter a value between 150 and 600 pixels","Geben Sie einen Wert zwischen 150 und 600 Pixel"
"Enter a value between 180 and 400 pixels","Geben Sie einen Wert zwischen 180 und 400 Pixel"
"Enter a value between 300 and 1200 pixels","Geben Sie einen Wert zwischen 300 und 1200 Pixel"
"Enter an email address which will be temporary used for new orders placed using Checkout by Amazon. If none entered, General Contact email from Magento settings will be used.","Bitte geben Sie eine E-Mail Adresse ein, die temporär für neue Bestellungen verwendet wird, welche über ""Bezahlen über Amazon"" realisiert wurden. Sofern keine Adresse eingetragen wurde, wird die E-Mail Adresse des Allgemeinen Kontakts aus den Magento Einstellungen verwendet."
"Exceptions","Exceptions"
"Feed sending schedule","Feed Versand-Zyklus"
"Feeds","Feeds"
"General info","Allgemeine Infos"
"http://www.creativestyle.net","http://www.creativestyle.de"
"http://www.creativestyle.net/services/magento.html","http://www.creativestyle.de/leistungen/magento.html"
"If you do not have a Checkout by Amazon account yet please sign up.","Sollten Sie noch keinen Amazon Account besitzen, registrieren Sie sich bitte zunächst bei Amazon."
"In progress","Verarbeitung"
"Installed Magento extensions","Installierte Magento Erweiterungen"
"Installed PHP modules","Installierte PHP Module"
"Large","Groß"
"Leave empty for access from any location","Leer lassen für den Zugriff von jedem beliebigen Standort"
"Light coloured","Hell gefärbt"
"Logger","Protokolleinrichtung"
"Marketplace","Marktplatz"
"Medium","Mittel"
"Merchant ID","Händlernummer"
"New order status","Neuer Bestellstatus"
"Non-supported signing method specified","Non-supported signing method specified"
